id,name,questionTypeId,options/0/id,options/0/questionId,options/0/name,options/0/isAnswer,options/1/id,options/1/questionId,options/1/name,options/1/isAnswer,options/2/id,options/2/questionId,options/2/name,options/2/isAnswer,options/3/id,options/3/questionId,options/3/name,options/3/isAnswer,questionType/id,questionType/name,questionType/isActive
1010,ASP.NET webform separates the HTML output from program logic using a feature named as,1,1055,1010,Exception,false,1056,1010,Code-behind,true,1057,1010,Code-front,false,1058,1010,None of the above,false,1,Multiple Choice,true
1011,The feature in ASP.NET 2.0 that is used to fire a normal postback to a different page in the application is called,1,1055,1010,Theme,false,1057,1010,Code-front,false,1056,1010,Cross Page Posting,true,1058,1010,None of the above,false,1,Multiple Choice,true
1012,What class does the ASP.NET Web Form class inherit from by default?,1,1055,1010,System.Web.UI.Page,true,1057,1010,System.Web.UI.Form,false,1056,1010,System.Web.GUI.Page,false,1058,1010,System.Web.Form,false,1,Multiple Choice,true
1013,What does MVC stand for?,1,1055,1010,Model View Controller,true,1057,1010,Maximum Virtual Control,false,1056,1010,Microsoft Visual Core,false,1058,1010,None of the above,false,1,Multiple Choice,true
1014,Which of the following does NOT require type casting?,1,1055,1010,Session,false,1057,1010,TempData,false,1056,1010,ViewData,false,1058,1010,ViewBag,true,1,Multiple Choice,true
1015,Which is the correct order of Page life-cycle in asp.net webform?,1,1055,1010,"Init, PreRender, Load",false,1057,1010,"Load, PreRender, Init",false,1056,1010,"Init, Load, PreRender",true,1058,1010,None of the above,false,1,Multiple Choice,true
1016,Which of these data source controls do not implement caching?,1,1055,1010,ObjectDataSource,false,1056,1010,LinqDataSource,true,1057,1010,SqlDataSource,false,1058,1010,XmlDataSource,false,1,Multiple Choice,true
1017,Which tag asp:Label control by default renders to?,1,1055,1010,div,false,1056,1010,span,true,1057,1010,body,false,1058,1010,label,false,1,Multiple Choice,true
1018,Which method do you use to explicitly kill a user's session?,1,1055,1010,Session.Terminate(),false,1057,1010,Session.TimeOut(),false,1056,1010,Session.Abondon(),true,1058,1010,Session.Kill(),false,1,Multiple Choice,true
1019,Which of the following object is ideal for keeping data alive for a single request?,1,1055,1010,HttpContext,true,1056,1010,Session,false,1057,1010,Cookies,false,1058,1010,SqlServer,false,1,Multiple Choice,true
